School_Name,School_ID,Unit,Network,Grade,Year,ReadME,MathME,CompME,ReadEXC,MathEXC,CompEXC,ReadMEET,MathMEET,CompMEET,ReadBLW,MathBLW,CompBLW,ReadWRN,MathWRN,CompWRN,ReadTST,MathTST
BRONZEVILLE LTHOUSE CHTR CAMPUS,400019,3990,Charter,5th Grade,2010,71.4,79.6,75.5,16.3,8.2,12.2,55.1,71.4,63.3,28.6,20.4,24.5,0.0,0.0,0.0,49,49
BRONZEVILLE LTHOUSE CHTR CAMPUS,400019,3990,Charter,6th Grade,2010,70.2,68.1,69.1,8.5,0.0,4.3,61.7,68.1,64.9,29.8,29.8,29.8,0.0,2.1,1.1,47,47
BRONZEVILLE LTHOUSE CHTR CAMPUS,400019,3990,Charter,7th Grade,2010,76.1,80.4,75.4,2.2,13.0,5.1,73.9,67.4,70.3,23.9,19.6,22.5,0.0,0.0,2.2,46,46
BRONZEVILLE LTHOUSE CHTR CAMPUS,400019,3990,Charter,8th Grade,2010,80.0,73.3,76.7,2.2,6.7,4.4,77.8,66.7,72.2,20.0,26.7,23.3,0.0,0.0,0.0,45,45
BRONZEVILLE LTHOUSE CHTR CAMPUS,400019,3990,Charter,3rd Grade,2011,86.0,92.0,89.0,16.0,32.0,24.0,70.0,60.0,65.0,8.0,6.0,7.0,6.0,2.0,4.0,50,50
BRONZEVILLE LTHOUSE CHTR CAMPUS,400019,3990,Charter,4th Grade,2011,63.5,90.5,72.1,13.5,21.6,12.6,50.0,68.9,59.5,36.5,9.5,27.5,0.0,0.0,0.5,74,74
BRONZEVILLE LTHOUSE CHTR CAMPUS,400019,3990,Charter,5th Grade,2011,61.7,70.2,66.0,19.1,8.5,13.8,42.6,61.7,52.1,38.3,27.7,33.0,0.0,2.1,1.1,47,47
BRONZEVILLE LTHOUSE CHTR CAMPUS,400019,3990,Charter,6th Grade,2011,87.2,78.7,83.0,23.4,8.5,16.0,63.8,70.2,67.0,12.8,21.3,17.0,0.0,0.0,0.0,47,47
BRONZEVILLE LTHOUSE CHTR CAMPUS,400019,3990,Charter,7th Grade,2011,73.5,83.7,77.6,4.1,4.1,2.7,69.4,79.6,74.8,24.5,14.3,20.4,2.0,2.0,2.0,49,49
BRONZEVILLE LTHOUSE CHTR CAMPUS,400019,3990,Charter,8th Grade,2011,85.4,77.1,81.3,2.1,16.7,9.4,83.3,60.4,71.9,14.6,22.9,18.8,0.0,0.0,0.0,48,48
BRONZEVILLE LTHOUSE CHTR CAMPUS,400019,3990,Charter,3rd Grade,2012,55.3,74.5,64.9,8.5,25.5,17.0,46.8,48.9,47.9,36.2,21.3,28.7,8.5,4.3,6.4,47,47
BRONZEVILLE LTHOUSE CHTR CAMPUS,400019,3990,Charter,4th Grade,2012,76.0,86.0,74.7,8.0,28.0,12.7,68.0,58.0,62.0,22.0,12.0,23.3,2.0,2.0,2.0,50,50
BRONZEVILLE LTHOUSE CHTR CAMPUS,400019,3990,Charter,5th Grade,2012,66.7,85.3,75.9,13.0,10.3,11.7,53.6,75.0,64.2,33.3,14.7,24.1,0.0,0.0,0.0,69,68
BRONZEVILLE LTHOUSE CHTR CAMPUS,400019,3990,Charter,6th Grade,2012,66.0,74.0,70.0,8.0,14.0,11.0,58.0,60.0,59.0,34.0,26.0,30.0,0.0,0.0,0.0,50,50
BRONZEVILLE LTHOUSE CHTR CAMPUS,400019,3990,Charter,7th Grade,2012,79.5,90.0,84.0,7.7,10.0,9.2,71.8,80.0,74.8,20.5,10.0,15.1,0.0,0.0,0.8,39,40
BRONZEVILLE LTHOUSE CHTR CAMPUS,400019,3990,Charter,8th Grade,2012,83.0,63.8,73.4,0.0,8.5,4.3,83.0,55.3,69.1,17.0,36.2,26.6,0.0,0.0,0.0,47,47
BRONZEVILLE LTHOUSE CHTR CAMPUS,400019,3990,Charter,3rd Grade,2013,40.4,53.2,46.8,6.4,6.4,6.4,34.0,46.8,40.4,53.2,42.6,47.9,6.4,4.3,5.3,47,47
BRONZEVILLE LTHOUSE CHTR CAMPUS,400019,3990,Charter,4th Grade,2013,20.4,24.5,30.3,2.0,2.0,1.4,18.4,22.4,29.0,67.3,71.4,63.4,12.2,4.1,6.2,49,49
BRONZEVILLE LTHOUSE CHTR CAMPUS,400019,3990,Charter,5th Grade,2013,36.7,34.7,35.7,2.0,0.0,1.0,34.7,34.7,34.7,57.1,53.1,55.1,6.1,12.2,9.2,49,49
BRONZEVILLE LTHOUSE CHTR CAMPUS,400019,3990,Charter,6th Grade,2013,42.6,42.6,42.6,8.8,1.5,5.1,33.8,41.2,37.5,51.5,50.0,50.7,5.9,7.4,6.6,68,68
BRONZEVILLE LTHOUSE CHTR CAMPUS,400019,3990,Charter,7th Grade,2013,57.1,38.8,49.7,6.1,4.1,4.8,51.0,34.7,44.9,28.6,55.1,36.7,14.3,6.1,13.6,49,49
BRONZEVILLE LTHOUSE CHTR CAMPUS,400019,3990,Charter,8th Grade,2013,51.2,29.3,40.2,4.9,0.0,2.4,46.3,29.3,37.8,46.3,68.3,57.3,2.4,2.4,2.4,41,41
BRONZEVILLE LTHOUSE CHTR CAMPUS,400019,3990,Charter,3rd Grade,2014,40.4,38.3,39.4,6.4,4.3,5.3,34.0,34.0,34.0,42.6,53.2,47.9,17.0,8.5,12.8,47,47
BRONZEVILLE LTHOUSE CHTR CAMPUS,400019,3990,Charter,4th Grade,2014,35.6,40.0,40.0,6.7,0.0,3.0,28.9,40.0,37.0,55.6,44.4,48.9,8.9,15.6,11.1,45,45
BRONZEVILLE LTHOUSE CHTR CAMPUS,400019,3990,Charter,5th Grade,2014,27.1,37.5,32.3,0.0,2.1,1.0,27.1,35.4,31.3,56.3,52.1,54.2,16.7,10.4,13.5,48,48
BRONZEVILLE LTHOUSE CHTR CAMPUS,400019,3990,Charter,6th Grade,2014,35.6,61.9,48.3,0.0,7.1,3.4,35.6,54.8,44.8,60.0,31.0,46.0,4.4,7.1,5.7,45,42
BRONZEVILLE LTHOUSE CHTR CAMPUS,400019,3990,Charter,7th Grade,2014,49.1,39.3,50.3,1.8,3.6,3.0,47.4,35.7,47.3,42.1,55.4,39.1,8.8,5.4,10.7,57,56
BRONZEVILLE LTHOUSE CHTR CAMPUS,400019,3990,Charter,8th Grade,2014,47.6,39.5,43.5,4.8,7.0,5.9,42.9,32.6,37.6,38.1,46.5,42.4,14.3,14.0,14.1,42,43
